"id","codimuni","nommuni","areaofi","areapol","codicomar","codiprov","validde","dataalta","habitants","altitud","nomcomar"
777,"430141","Amposta",NULL,"138.501","22","43",NULL,"201707262100",19142,8,"Montsià"
778,"430154","Arbolí",NULL,"20.6898","08","43",NULL,"201707262100",105,714,"Baix Camp"
779,"430167","l'Arboç",NULL,"14.2981","12","43",NULL,"201707262100",4802,166,"Baix Penedès"
780,"430173","l'Argentera",NULL,"10.0251","08","43",NULL,"201707262100",155,344,"Baix Camp"
781,"430189","Arnes",NULL,"42.756","37","43",NULL,"201707262100",510,506,"Terra Alta"
782,"430192","Ascó","73.5257","73.5257","30","43","20160727","201707262100",1602,70,"Ribera d'Ebre"
783,"430206","Banyeres del Penedès",NULL,"12.2365","12","43",NULL,"201707262100",2557,173,"Baix Penedès"
784,"430213","Barberà de la Conca",NULL,"26.1881","16","43",NULL,"201707262100",503,475,"Conca de Barberà"
785,"430228","Batea",NULL,"128.4673","37","43",NULL,"201707262100",2106,376,"Terra Alta"
786,"430234","Bellmunt del Priorat",NULL,"8.8904","29","43",NULL,"201707262100",324,261,"Priorat"
787,"430249","Bellvei",NULL,"8.2898","12","43",NULL,"201707262100",1748,108,"Baix Penedès"
788,"430252","Benifallet",NULL,"62.4843","09","43",NULL,"201707262100",790,19,"Baix Ebre"
789,"430265","Benissanet",NULL,"23.044","30","43",NULL,"201707262100",1205,26,"Ribera d'Ebre"
790,"430271","la Bisbal de Falset",NULL,"14.0473","29","43",NULL,"201707262100",266,372,"Priorat"
791,"430287","la Bisbal del Penedès",NULL,"32.5361","12","43",NULL,"201707262100",2815,189,"Baix Penedès"
792,"430290","Blancafort","14.5340","14.534","16","43","20160505","201707262100",414,428,"Conca de Barberà"
793,"430304","Bonastre",NULL,"24.9817","12","43",NULL,"201707262100",534,177,"Baix Penedès"
794,"430311","les Borges del Camp",NULL,"8.3503","08","43",NULL,"201707262100",1914,238,"Baix Camp"
795,"430326","Bot",NULL,"34.6774","37","43",NULL,"201707262100",736,286,"Terra Alta"
796,"430332","Botarell",NULL,"11.9335","08","43",NULL,"201707262100",963,196,"Baix Camp"
797,"430347","Bràfim",NULL,"6.3476","01","43",NULL,"201707262100",650,236,"Alt Camp"
